10,1,1.25
10,2,0.94
10,4,1.33
10,8,1.75
10,16,3.12
20,1,0.31
20,2,0.55
20,4,0.89
20,8,1.56
20,16,3.06
30,1,0.42
30,2,0.50
30,4,0.76
30,8,1.58
30,16,3.22
40,1,0.54
40,2,0.61
40,4,1.03
40,8,1.73
40,16,2.88
50,1,0.81
50,2,0.83
50,4,0.96
50,8,1.62
50,16,3.03
60,1,1.24
60,2,0.98
60,4,0.99
60,8,1.83
60,16,2.99
70,1,1.78
70,2,1.27
70,4,1.18
70,8,1.87
70,16,3.27
80,1,2.54
80,2,1.59
80,4,1.40
80,8,2.04
80,16,2.98
90,1,3.46
90,2,2.12
90,4,1.77
90,8,2.21
90,16,3.34
100,1,4.98
100,2,2.86
100,4,2.21
100,8,2.39
100,16,4.39
110,1,6.57
110,2,7.61
110,4,5.65
110,8,6.46
110,16,6.73
120,1,9.92
120,2,4.96
120,4,4.61
120,8,4.23
120,16,4.13
130,1,10.86
130,2,6.10
130,4,3.56
130,8,3.95
130,16,4.27
140,1,13.34
140,2,7.19
140,4,4.27
140,8,3.70
140,16,4.48
150,1,16.36
150,2,8.50
150,4,5.32
150,8,4.62
150,16,5.01
160,1,19.50
160,2,10.12
160,4,7.92
160,8,5.14
160,16,5.23
170,1,23.06
170,2,11.92
170,4,7.29
170,8,6.20
170,16,6.04
180,1,27.26
180,2,14.26
180,4,7.61
180,8,7.07
180,16,6.26
190,1,32.27
190,2,16.91
190,4,10.68
190,8,7.70
190,16,7.37
200,1,37.04
200,2,19.18
200,4,12.83
200,8,9.32
200,16,8.63
210,1,44.37
210,2,22.12
210,4,14.56
210,8,10.32
210,16,10.81
220,1,50.11
220,2,25.16
220,4,22.83
220,8,11.46
220,16,11.51
230,1,57.37
230,2,29.42
230,4,22.55
230,8,13.30
230,16,12.19
240,1,64.18
240,2,32.31
240,4,17.40
240,8,16.14
240,16,14.36
250,1,73.36
250,2,37.57
250,4,19.20
250,8,16.13
250,16,15.59
260,1,81.49
260,2,46.86
260,4,32.85
260,8,19.13
260,16,18.22
270,1,93.03
270,2,57.85
270,4,27.48
270,8,21.98
270,16,20.40
280,1,109.44
280,2,53.76
280,4,33.38
280,8,23.78
280,16,22.57
290,1,116.49
290,2,58.29
290,4,44.31
290,8,29.75
290,16,25.28
300,1,127.34
300,2,63.49
300,4,46.83
300,8,31.99
300,16,30.74
310,1,137.51
310,2,78.38
310,4,37.05
310,8,32.59
310,16,29.64
320,1,152.98
320,2,79.41
320,4,39.84
320,8,35.10
320,16,40.68
330,1,175.12
330,2,93.60
330,4,43.89
330,8,38.53
330,16,32.85
340,1,185.56
340,2,162.72
340,4,57.89
340,8,38.92
340,16,45.28
350,1,200.51
350,2,99.81
350,4,62.04
350,8,44.58
350,16,39.66
360,1,223.23
360,2,119.03
360,4,63.90
360,8,48.96
360,16,43.31
370,1,237.24
370,2,118.95
370,4,69.34
370,8,54.19
370,16,47.54
380,1,260.31
380,2,128.25
380,4,74.83
380,8,61.05
380,16,63.65
390,1,278.39
390,2,141.65
390,4,74.57
390,8,65.57
390,16,56.06
400,1,302.58
400,2,239.41
400,4,142.10
400,8,69.44
400,16,60.54
410,1,326.13
410,2,165.46
410,4,111.24
410,8,78.64
410,16,70.55
420,1,348.49
420,2,176.67
420,4,160.71
420,8,81.01
420,16,69.33
430,1,373.59
430,2,190.14
430,4,123.73
430,8,85.78
430,16,77.64
440,1,398.51
440,2,210.82
440,4,181.33
440,8,89.73
440,16,77.62
450,1,428.92
450,2,217.03
450,4,155.79
450,8,100.74
450,16,97.17
460,1,456.37
460,2,270.08
460,4,151.35
460,8,108.06
460,16,96.83
470,1,502.29
470,2,257.30
470,4,156.06
470,8,110.59
470,16,109.28
480,1,550.33
480,2,265.79
480,4,173.64
480,8,128.26
480,16,107.53
490,1,551.63
490,2,298.40
490,4,276.43
490,8,133.36
490,16,111.61
500,1,596.61
500,2,308.92
500,4,183.46
500,8,134.09
500,16,123.42
