N	SelectSort	BubbleSort	ShakerSort	InsertSort	ShellSort
200	20467	47758	43566	20150	3036
201	20685	49263	40696	20934	3062
202	20892	48447	45513	21439	3069
203	21085	52720	46965	24318	3098
204	21306	53289	45184	22867	3100
205	21507	53901	47153	22635	3127
206	21712	50986	45129	21466	3151
207	21930	54066	43449	22596	3163
208	22134	56166	47720	20861	3176
209	22342	57130	44612	21238	3182
210	22563	52113	53953	23397	3224
211	22779	57219	51821	21435	3212
212	22978	54994	46832	23204	3262
213	23196	57357	49858	21564	3268
214	23418	55731	49921	24070	3303
215	23635	58420	48374	23782	3323
216	23853	56487	50744	24750	3320
217	24057	58473	56304	23101	3362
218	24286	58015	50832	22904	3369
219	24519	58332	54642	25933	3372
220	24723	60960	50142	24723	3423
221	24949	58741	48975	24540	3431
222	25185	61080	52471	24555	3437
223	25413	61284	51712	24400	3485
224	25636	61861	52973	23669	3488
225	25866	60147	54130	25612	3486
226	26091	63195	51880	25265	3504
227	26308	64420	58935	26679	3550
228	26547	63471	55132	23944	3563
229	26772	66333	56552	27850	3578
230	27013	67747	57460	25425	3597
231	27237	63450	56596	28702	3614
232	27480	66291	54315	26916	3642
233	27721	67810	59073	27210	3642
234	27951	70518	59558	30009	3657
235	28176	70065	55647	29925	3683
236	28423	70738	59011	28745	3700
237	28662	71892	59254	28801	3720
238	28902	69063	64019	27786	3748
239	29137	68860	59757	30382	3762
240	29379	73869	63677	27821	3780
241	29637	73605	57569	29987	3810
242	29872	75721	64422	28354	3801
243	30123	73521	60322	31142	3828
244	30342	75447	69495	29450	3845
245	30616	78688	65372	31741	3871
246	30855	75048	65474	30445	3890
247	31104	74616	63768	29315	3899
248	31348	76927	68088	30382	3908
249	31593	75456	66025	30823	3919
250	31857	78837	70502	31708	3979
251	32104	75859	63096	31951	3960
252	32370	79743	71658	34004	4001
253	32625	79032	68407	30940	4044
254	32866	82996	65900	33591	4073
255	33132	82269	67195	32341	4063
256	33381	81027	70084	33986	4098
257	33646	80671	67422	34506	4125
258	33909	84495	74114	35738	4132
259	34173	81714	72584	35599	4152
260	34429	87064	72671	34292	4142
261	34698	85476	75113	36323	4178
262	34959	86028	74217	35308	4191
263	35227	83407	76996	35178	4194
264	35481	86766	75482	38982	4216
265	35751	81684	81953	36212	4216
266	36028	88864	73852	35834	4287
267	36300	93339	74619	37228	4307
268	36549	90249	82316	35707	4316
269	36838	91057	75549	36314	4315
270	37113	92484	76864	34898	4348
271	37389	92163	80284	36884	4396
272	37657	92305	77485	37242	4389
273	37920	95934	82001	36505	4385
274	38208	96081	81812	41618	4412
275	38476	92899	83951	39533	4445
276	38757	91629	86016	37696	4445
277	39048	92226	82760	38677	4496
278	39319	96847	82770	36500	4540
279	39606	99264	81907	37865	4526
280	39882	96483	83599	39841	4525
281	40177	98932	87677	39751	4589
282	40452	95280	81995	40860	4562
283	40731	104163	90576	41583	4606
284	41002	102292	86623	41082	4609
285	41301	102633	85064	38956	4640
286	41607	101124	90141	40244	4663
287	41881	101275	86519	41174	4648
288	42180	105492	89321	40590	4690
289	42471	104331	93672	42783	4722
290	42748	109438	92708	42466	4739
291	43053	99489	89700	41646	4754
292	43347	106062	91580	42970	4792
293	43636	108997	94627	43719	4785
294	43938	103413	88482	41683	4820
295	44226	113082	97154	42565	4849
296	44527	107884	95737	46602	4860
297	44826	111222	95700	42948	4873
298	45138	113193	93367	42079	4893
299	45433	114181	99884	48537	4920
300	45741	112776	98300	47180	4946
301	46038	115650	94505	44874	4918
302	46348	112777	97322	46475	4973
303	46638	122406	98525	47919	4981
304	46947	114366	95598	50049	5012
305	47257	110578	99501	46854	4998
306	47568	114399	100784	47617	5066
307	47859	118515	104891	47052	5079
308	48172	120670	97783	45501	5072
309	48489	120594	100179	50214	5110
310	48807	117903	103648	46364	5115
311	49120	119878	98919	50331	5166
312	49437	122589	101301	47669	5140
313	49755	123732	105488	47806	5186
314	50068	124993	104087	52292	5200
315	50385	120921	103656	50423	5198
316	50688	120336	108496	50678	5201
317	51010	127753	108424	51939	5257
318	51321	121671	109026	52473	5269
319	51660	117783	112934	53589	5316
320	51982	131035	106153	51767	5309
321	52302	131805	106742	53970	5302
322	52626	133365	104970	51428	5346
323	52954	126880	112433	51504	5359
324	53271	133617	119372	52049	5375
325	53604	132396	119959	53092	5426
326	53929	131299	117011	53649	5445
327	54267	132504	110671	53762	5433
328	54591	133704	116598	54535	5453
329	54919	136837	113311	56714	5465
330	55260	138531	120707	53391	5474
331	55596	142113	120501	54217	5562
332	55930	139126	126834	58368	5535
333	56256	133332	116585	54717	5571
334	56604	140856	118959	56289	5570
335	56926	132958	115187	55599	5585
336	57273	139881	116031	56250	5622
337	57600	144126	116879	54836	5637
338	57961	138928	112127	57657	5653
339	58287	140391	124734	59734	5709
340	58635	143676	123383	60351	5646
341	58975	144517	128551	59116	5716
342	59310	151617	133520	60697	5718
343	59664	146931	128679	58172	5715
344	60010	146635	129731	62562	5758
345	60351	148938	137610	61275	5816
346	60702	145818	132450	61455	5774
347	61051	148909	124533	64123	5820
348	61404	150516	132994	58524	5874
349	61746	145929	127510	60271	5875
350	62113	157357	131230	58424	5868
351	62463	153951	132997	63082	5912
